,generation,avg_profit,avg_drawdown,num_trades,best
0,1,-3581.068497872456,33.36207012693997,-29.95,-13295.051853457571
1,2,-1129.0629374521036,14.87283512756899,-44.59,-20173.996783638835
2,3,-3994.9740351850087,42.60953557380483,-71.85,-20173.996783638835
3,4,-2882.10210840565,44.48924314893721,-102.49,-20173.996783638835
4,5,-2595.205975518975,43.19586738854623,-123.35,-20173.996783638835
5,6,-3025.4430073228937,43.38346163290274,-146.63,-20173.996783638835
6,7,-3249.3947191288335,41.18130879583873,-149.22,-22048.363115590215
7,8,-3347.770432057713,39.833197761030235,-172.65,-22048.363115590215
8,9,-3307.865204514357,41.06835781688048,-190.6,-22048.363115590215
9,10,-3535.607549672204,43.0396875144407,-205.34,-22048.363115590215
