nohup: ignoring input
2024-04-25 13:57:13:  Population size: 100
2024-04-25 13:57:13:  Number of generations: 500
2024-04-25 13:57:13:  Profit threshold: 100.0
2024-04-25 13:57:13:  Drawdown threshold: 40.0
2024-04-25 13:57:13:  Ticker symbol: tqqq
2024-04-25 13:57:13:  Training Start Date: 2011-01-01
2024-04-25 13:57:13:  Training End Date: 2022-04-26
2024-04-25 13:57:13:  Testing Start Date: 2022-04-27
2024-04-25 13:57:13:  Testing End Date: 2024-04-25
2024-04-25 13:57:13:  Save Data: False
2024-04-25 13:57:13:  Force CPU: False
2024-04-25 13:57:13:  train_and_validate_process = mp.Process.
2024-04-25 13:57:13:  train_and_validate_process.start()
2024-04-25 13:57:13:  plotter.update_while_training()

Continuing without tkinter backend...

2024-04-25 13:57:13:  CUDA available? False
/home/ubuntu/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:628: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
2024-04-25 13:57:13:  No GPUs available. Using CPU.
2024-04-25 13:57:13:  creating trading environment
2024-04-25 13:57:13:  Create the trading problem
2024-04-25 13:57:13:  Create the algorithm
2024-04-25 13:57:13:  performance_logger = PerformanceLogger(queue)
2024-04-25 13:57:13:  Run the optimization
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     14 |             - |             -
     2 |      200 |     19 |  0.3774418603 |         ideal
     3 |      300 |     20 |  0.0903026562 |         nadir
     4 |      400 |     26 |  0.0383256389 |         nadir
     5 |      500 |     29 |  0.0327868266 |             f
     6 |      600 |     33 |  0.0169734588 |             f
     7 |      700 |     35 |  0.3876367527 |         ideal
     8 |      800 |     19 |  0.0689075630 |         ideal
     9 |      900 |     21 |  0.0056608167 |             f
    10 |     1000 |     25 |  0.0178339668 |             f
    11 |     1100 |     27 |  0.0119733635 |             f
    12 |     1200 |     26 |  0.0054606645 |             f
    13 |     1300 |     31 |  0.0269351907 |         nadir
    14 |     1400 |     30 |  0.0091422139 |             f
    15 |     1500 |     32 |  0.0062191357 |             f
    16 |     1600 |     34 |  0.0033382399 |             f
    17 |     1700 |     32 |  0.0059420976 |             f
    18 |     1800 |     34 |  0.0063613170 |             f
    19 |     1900 |     33 |  0.0088073169 |             f
    20 |     2000 |     34 |  0.0059540894 |             f
    21 |     2100 |     36 |  0.0029040283 |             f
    22 |     2200 |     38 |  0.0043658820 |             f
    23 |     2300 |     38 |  0.000000E+00 |             f
    24 |     2400 |     38 |  0.000000E+00 |             f
    25 |     2500 |     38 |  0.000000E+00 |             f
    26 |     2600 |     39 |  0.0008164041 |             f
    27 |     2700 |     41 |  0.0023338683 |             f
    28 |     2800 |     41 |  0.0042102627 |             f
    29 |     2900 |     41 |  0.0003130676 |             f
    30 |     3000 |     42 |  0.1067762550 |         nadir
    31 |     3100 |     41 |  0.0115511551 |         ideal
    32 |     3200 |     40 |  0.0093499024 |             f
    33 |     3300 |     41 |  0.0003222157 |             f
    34 |     3400 |     43 |  0.0045508238 |             f
    35 |     3500 |     40 |  0.1887550201 |         ideal
    36 |     3600 |     40 |  0.000000E+00 |             f
    37 |     3700 |     42 |  0.0015383696 |             f
    38 |     3800 |     41 |  0.0084139597 |         ideal
    39 |     3900 |     43 |  0.0010840694 |             f
    40 |     4000 |     43 |  0.0010840694 |             f
    41 |     4100 |     46 |  0.0020812400 |             f
    42 |     4200 |     48 |  0.0036187748 |             f
    43 |     4300 |     51 |  0.0058969466 |             f
    44 |     4400 |     53 |  0.000000E+00 |             f
    45 |     4500 |     42 |  0.0016935085 |             f
    46 |     4600 |     43 |  0.3483627575 |         ideal
    47 |     4700 |     43 |  0.0026845638 |         nadir
    48 |     4800 |     44 |  0.0003921567 |             f
    49 |     4900 |     44 |  0.0019965593 |             f
    50 |     5000 |     48 |  0.0019228204 |             f
    51 |     5100 |     48 |  0.0020766271 |             f
    52 |     5200 |     45 |  0.0061723581 |             f
    53 |     5300 |     44 |  0.0081190798 |         nadir
    54 |     5400 |     45 |  0.0024365431 |             f
    55 |     5500 |     45 |  0.0025909349 |             f
    56 |     5600 |     45 |  0.0012311332 |             f
    57 |     5700 |     47 |  0.0011787445 |             f
    58 |     5800 |     47 |  0.0011787445 |             f
    59 |     5900 |     48 |  0.0013806601 |             f
    60 |     6000 |     50 |  0.0013254337 |             f
    61 |     6100 |     52 |  0.0040431267 |         ideal
    62 |     6200 |     56 |  0.0008898091 |             f
    63 |     6300 |     51 |  0.0025769920 |             f
