2024-05-10 00:41:29:  Population size: 100
2024-05-10 00:41:29:  Number of generations: 500
2024-05-10 00:41:29:  Ticker symbol: tqqq
2024-05-10 00:41:29:  Training Start Date: 2011-01-01 00:00:00
2024-05-10 00:41:29:  Training End Date: 2021-12-31 00:00:00
2024-05-10 00:41:29:  Testing Start Date: 2022-01-01 00:00:00
2024-05-10 00:41:29:  Testing End Date: 2023-12-31 00:00:00
2024-05-10 00:41:29:  Save Data: False
2024-05-10 00:41:29:  Force CPU: False
2024-05-10 00:41:29:  Creating process: train_and_validate_process
2024-05-10 00:41:29:  train_and_validate_process.start()
2024-05-10 00:41:29:  plotter.update_while_training()

Continuing without tkinter backend...

2024-05-10 00:41:30:  CUDA available? False
/home/ubuntu/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:628: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
2024-05-10 00:41:30:  No GPUs available. Using CPU.
2024-05-10 00:41:30:  creating trading environment
2024-05-10 00:41:30:  Create the trading problem
2024-05-10 00:41:30:  Create the algorithm
2024-05-10 00:41:30:  performance_logger = PerformanceLogger(queue)
2024-05-10 00:41:30:  Run the optimization
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     55 |             - |             -
     2 |      200 |     94 |  0.2681255204 |         ideal
     3 |      300 |     25 |  0.1422680412 |         ideal
     4 |      400 |     32 |  0.0328209640 |             f
     5 |      500 |     37 |  0.1339285714 |         ideal
     6 |      600 |     40 |  0.0022067988 |             f
     7 |      700 |     45 |  0.1082802548 |         ideal
     8 |      800 |     46 |  0.0034948659 |             f
     9 |      900 |     46 |  0.0050904701 |             f
    10 |     1000 |     48 |  0.0045477460 |             f
    11 |     1100 |     48 |  0.0044096829 |             f
    12 |     1200 |     51 |  0.1037422401 |         ideal
    13 |     1300 |     56 |  0.0062715673 |             f
    14 |     1400 |     60 |  0.1764873909 |         ideal
    15 |     1500 |     52 |  0.0287556280 |         nadir
    16 |     1600 |     54 |  0.0038200375 |             f
    17 |     1700 |     58 |  0.0044641260 |             f
    18 |     1800 |     59 |  0.0046108721 |             f
    19 |     1900 |     57 |  0.0037899502 |             f
    20 |     2000 |     58 |  0.0011545736 |             f
    21 |     2100 |     55 |  0.0031948882 |         nadir
    22 |     2200 |     56 |  0.0021521272 |             f
    23 |     2300 |     60 |  0.0032971036 |             f
    24 |     2400 |     62 |  0.0016194160 |             f
    25 |     2500 |     64 |  0.0031714831 |             f
    26 |     2600 |     63 |  0.0000101084 |             f
    27 |     2700 |     54 |  0.0089608186 |             f
    28 |     2800 |     54 |  0.000000E+00 |             f
    29 |     2900 |     57 |  0.0018193314 |             f
    30 |     3000 |     61 |  0.0031847134 |         nadir
    31 |     3100 |     62 |  0.000000E+00 |             f
    32 |     3200 |     62 |  0.0039809629 |             f
    33 |     3300 |     60 |  0.0047453862 |             f
    34 |     3400 |     61 |  0.0070223229 |         nadir
    35 |     3500 |     62 |  0.000000E+00 |             f
    36 |     3600 |     64 |  0.0003070821 |             f
