nohup: ignoring input
2024-05-14 18:14:43:  Population size: 100
2024-05-14 18:14:43:  Number of generations: 600
2024-05-14 18:14:43:  Ticker symbol: tqqq
2024-05-14 18:14:43:  Indicator Warm-Up Start Date: 2010-02-11 00:00:00
2024-05-14 18:14:43:  Indicator Warm-Up End Date: 2010-12-31 00:00:00
2024-05-14 18:14:43:  Close Prices Training Start Date: 2011-01-03 00:00:00
2024-05-14 18:14:43:  Open Prices Training Start Date: 2011-01-04 00:00:00
2024-05-14 18:14:43:  Close Prices Training End Date: 2021-12-30 00:00:00
2024-05-14 18:14:43:  Open Prices Training End Date: 2021-12-31 00:00:00
2024-05-14 18:14:43:  Close Prices Validation Start Date: 2022-01-03 00:00:00
2024-05-14 18:14:43:  Open Prices Validation Start Date: 2022-01-04 00:00:00
2024-05-14 18:14:43:  Close Prices Validation End Date: 2023-12-28 00:00:00
2024-05-14 18:14:43:  Open Prices Validation End Date: 2023-12-29 00:00:00
2024-05-14 18:14:43:  Save Data: False
2024-05-14 18:14:43:  Force CPU: True
2024-05-14 18:14:43:  Creating process: train_and_validate_process
2024-05-14 18:14:43:  train_and_validate_process.start()
2024-05-14 18:14:43:  plotter.update_while_training()

Continuing without tkinter backend...

2024-05-14 18:14:44:  CUDA available? False
2024-05-14 18:14:44:  Force CPU.
2024-05-14 18:14:44:  creating trading environment
2024-05-14 18:14:44:  Create the trading problem
2024-05-14 18:14:44:  Create the algorithm
2024-05-14 18:14:44:  performance_logger = PerformanceLogger(queue)
2024-05-14 18:14:44:  Run the optimization
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     65 |             - |             -
     2 |      200 |     21 |  0.0255102041 |         ideal
     3 |      300 |     22 |  0.0373506595 |         ideal
     4 |      400 |     23 |  0.3957055215 |         ideal
     5 |      500 |     27 |  0.0213716731 |             f
     6 |      600 |     28 |  0.2030869604 |         ideal
     7 |      700 |     31 |  0.0114183748 |             f
     8 |      800 |     35 |  0.1462390402 |         nadir
     9 |      900 |     39 |  0.0057127678 |             f
    10 |     1000 |     41 |  0.0095541979 |             f
    11 |     1100 |     33 |  0.2107576316 |         ideal
    12 |     1200 |     39 |  0.0211836032 |             f
    13 |     1300 |     31 |  0.0038239502 |             f
    14 |     1400 |     37 |  0.0407872249 |         nadir
    15 |     1500 |     37 |  0.000000E+00 |             f
    16 |     1600 |     38 |  0.0022720405 |             f
    17 |     1700 |     41 |  0.0069549716 |             f
    18 |     1800 |     43 |  0.0038764216 |             f
    19 |     1900 |     45 |  0.000000E+00 |             f
    20 |     2000 |     48 |  0.0037417073 |             f
    21 |     2100 |     45 |  0.0455212922 |         ideal
    22 |     2200 |     46 |  0.0027705307 |             f
    23 |     2300 |     47 |  0.0003532386 |             f
    24 |     2400 |     48 |  0.0012515188 |             f
    25 |     2500 |     51 |  0.0036487298 |             f
    26 |     2600 |     52 |  0.0001751553 |             f
    27 |     2700 |     51 |  0.0013904163 |             f
    28 |     2800 |     53 |  0.0215517241 |         ideal
    29 |     2900 |     54 |  0.0029882750 |             f
    30 |     3000 |     56 |  0.0056871213 |             f
    31 |     3100 |     56 |  0.0024705674 |             f
    32 |     3200 |     59 |  0.0028653295 |         nadir
