vlee@VLEE-XPS: RL-Trading $ python3 ./main.py 
Population size: 100
Number of generations: 100
Profit threshold: 100.0
Drawdown threshold: 40.0

Continuing without tkinter backend...

split_index 2022-01-01 00:00:00 type <class 'pandas._libs.tslibs.timestamps.Timestamp'>
input_shape (main) 59
Using a single GPU because you have a sad compute env.
==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |      100 |     17 |             - |             -
     2 |      200 |     19 |  0.3308270677 |         ideal
     3 |      300 |     24 |  0.0494402522 |         nadir
     4 |      400 |     26 |  0.0397111913 |         ideal
     5 |      500 |     31 |  0.0343307793 |         ideal
     6 |      600 |     22 |  0.1064516129 |         ideal
     7 |      700 |     23 |  0.3269114416 |         ideal
     8 |      800 |     30 |  0.0236114581 |             f
     9 |      900 |     31 |  0.0217363467 |             f
    10 |     1000 |     33 |  0.1820665876 |         nadir
    11 |     1100 |     33 |  0.0134938657 |             f
    12 |     1200 |     33 |  0.0137637625 |             f
    13 |     1300 |     35 |  0.0093808159 |             f
    14 |     1400 |     37 |  0.0085926018 |             f
    15 |     1500 |     37 |  0.0044768061 |             f
    16 |     1600 |     39 |  0.0143540670 |         ideal
    17 |     1700 |     42 |  0.0048000540 |             f
    18 |     1800 |     43 |  0.0025603660 |             f
    19 |     1900 |     48 |  0.1689696506 |         nadir
    20 |     2000 |     50 |  0.0009133562 |             f
    21 |     2100 |     51 |  0.1017191977 |         ideal
    22 |     2200 |     52 |  0.0039074739 |             f
    23 |     2300 |     54 |  0.0029972293 |             f
    24 |     2400 |     58 |  0.0007781710 |             f
    25 |     2500 |     60 |  0.0029385949 |             f
    26 |     2600 |     64 |  0.0035233588 |             f
    27 |     2700 |     63 |  0.2258713225 |         ideal
    28 |     2800 |     65 |  0.0008140488 |             f
    29 |     2900 |     65 |  0.0008140488 |             f
    30 |     3000 |     70 |  0.0032361269 |             f
    31 |     3100 |     70 |  0.000000E+00 |             f
    32 |     3200 |     73 |  0.0001822541 |             f
    33 |     3300 |     72 |  0.0014721800 |             f
    34 |     3400 |     74 |  0.0043893713 |             f
    35 |     3500 |     76 |  0.0013600697 |             f
    36 |     3600 |     78 |  0.0025068713 |             f
    37 |     3700 |     78 |  0.0176183821 |         ideal
    38 |     3800 |     79 |  0.1096938776 |         ideal
    39 |     3900 |     76 |  0.0027582746 |             f
    40 |     4000 |     76 |  0.000000E+00 |             f
    41 |     4100 |     78 |  0.0000919298 |             f
    42 |     4200 |     80 |  0.0002524175 |             f
    43 |     4300 |     82 |  0.0010488944 |             f
    44 |     4400 |     84 |  0.0179838096 |         nadir
    45 |     4500 |     86 |  0.0002987261 |             f
    46 |     4600 |     87 |  0.0012661688 |             f
    47 |     4700 |     90 |  0.0017622939 |             f
    48 |     4800 |     93 |  0.0025694073 |             f
    49 |     4900 |     96 |  0.0009758960 |             f
    50 |     5000 |     98 |  0.0611445779 |         nadir
    51 |     5100 |     97 |  0.0023827071 |             f
    52 |     5200 |    100 |  0.0025510204 |         nadir
    53 |     5300 |    100 |  0.000000E+00 |             f
    54 |     5400 |    100 |  0.0031869310 |             f
    55 |     5500 |    100 |  0.0576225342 |         nadir
    56 |     5600 |    100 |  0.0005745883 |             f
    57 |     5700 |    100 |  0.0019070757 |             f
    58 |     5800 |    100 |  0.0023985193 |             f
    59 |     5900 |    100 |  0.0026114227 |             f
    60 |     6000 |    100 |  0.0024898532 |             f
    61 |     6100 |    100 |  0.0026187901 |             f
    62 |     6200 |    100 |  0.0006160742 |             f
    63 |     6300 |    100 |  0.0014422892 |             f
    64 |     6400 |     94 |  0.0039084649 |             f
    65 |     6500 |     98 |  0.0012918555 |             f
    66 |     6600 |     91 |  0.1848739356 |         ideal
    67 |     6700 |     92 |  0.0014370096 |             f
    68 |     6800 |     95 |  0.1299578869 |         ideal
    69 |     6900 |    100 |  0.0005788515 |             f
    70 |     7000 |    100 |  0.0017321187 |             f
    71 |     7100 |    100 |  0.0028090064 |             f
    72 |     7200 |    100 |  0.0008765474 |             f
    73 |     7300 |    100 |  0.0012124754 |             f
    74 |     7400 |     95 |  0.0018720695 |             f
    75 |     7500 |     96 |  0.0018804159 |             f
    76 |     7600 |     97 |  0.0027306658 |             f
    77 |     7700 |     97 |  0.0011726675 |             f
    78 |     7800 |     97 |  0.0011726675 |             f
    79 |     7900 |     99 |  0.0026857627 |             f
    80 |     8000 |    100 |  0.0005291952 |             f
    81 |     8100 |    100 |  0.0014697281 |             f
    82 |     8200 |    100 |  0.0020358731 |             f
    83 |     8300 |    100 |  0.0026408625 |             f
    84 |     8400 |    100 |  0.000000E+00 |             f
    85 |     8500 |     88 |  0.0868844880 |         nadir
    86 |     8600 |     90 |  0.0009025545 |             f
    87 |     8700 |     91 |  0.0008926363 |             f
    88 |     8800 |     94 |  0.0008641480 |             f
    89 |     8900 |     94 |  0.0017801612 |             f
    90 |     9000 |     96 |  0.0023957083 |             f
    91 |     9100 |    100 |  0.0033941451 |             f
    92 |     9200 |     97 |  0.0063371356 |         ideal
    93 |     9300 |    100 |  0.0002730578 |             f
    94 |     9400 |    100 |  0.0010117630 |             f
    95 |     9500 |    100 |  0.0025284450 |         ideal
    96 |     9600 |    100 |  0.0021617974 |             f
    97 |     9700 |    100 |  0.0031174471 |             f
    98 |     9800 |    100 |  0.0000636084 |             f
    99 |     9900 |    100 |  0.0012208031 |             f
   100 |    10000 |    100 |  0.0029992250 |             f
Profit: -13.84572370147705, Drawdown: 13.84572370147705, Num Trades: 2.0, Ratio: -1.0
Profit: -47.49693577957153, Drawdown: 76.08249557113648, Num Trades: 88.0, Ratio: -0.6242820431036243
Profit: 0.0, Drawdown: 0.0, Num Trades: 0.0, Ratio: 0.0
Profit: 76.31077079582215, Drawdown: 49.80393927549736, Num Trades: 71.0, Ratio: 1.5322235932723833
Profit: 7.542805961608886, Drawdown: 0.0, Num Trades: 2.0, Ratio: 75428.05961608885
Profit: -16.657317407608033, Drawdown: 72.14440747833251, Num Trades: 80.0, Ratio: -0.23088854687192226
Profit: 40.20031465148926, Drawdown: 48.99759273426774, Num Trades: 68.0, Ratio: 0.8204548919272543
Profit: -18.115623514175418, Drawdown: 69.30063808250428, Num Trades: 89.0, Ratio: -0.2614063018093467
Profit: 27.561667688369752, Drawdown: 56.433088048597114, Num Trades: 36.0, Ratio: 0.48839552541649217
Profit: -56.97151329421997, Drawdown: 80.4370737991333, Num Trades: 137.0, Ratio: -0.7082743143601754
Profit: 76.31077079582215, Drawdown: 49.80393927549736, Num Trades: 71.0, Ratio: 1.5322235932723833
Profit: 86.71765445518493, Drawdown: 46.839826726282546, Num Trades: 70.0, Ratio: 1.8513658251115246
Profit: 32.39575987243653, Drawdown: 50.740831544602194, Num Trades: 68.0, Ratio: 0.6384554388699762
Profit: -61.8964287109375, Drawdown: 80.28385378074645, Num Trades: 122.0, Ratio: -0.7709698251403746
Profit: -49.001260658264165, Drawdown: 77.94523951339721, Num Trades: 132.0, Ratio: -0.6286626478303635
Profit: -19.922877172470095, Drawdown: 25.53930306029378, Num Trades: 32.0, Ratio: -0.7800869556007736
Profit: 8.879475379943848, Drawdown: 69.03625240325928, Num Trades: 44.0, Ratio: 0.12862047215536046
Profit: 76.62959168243408, Drawdown: 46.84320085395958, Num Trades: 69.0, Ratio: 1.6358743699291145
Profit: -41.56792228317261, Drawdown: 84.23818414115905, Num Trades: 49.0, Ratio: -0.49345700773317575
Profit: -46.77460997581482, Drawdown: 70.31907279636394, Num Trades: 124.0, Ratio: -0.6651767168669699
Profit: 20.537582639694214, Drawdown: 5.768434473644757, Num Trades: 18.0, Ratio: 3.560339071810179
Profit: -12.993004259109497, Drawdown: 72.26364583015442, Num Trades: 21.0, Ratio: -0.17980001022433514
Profit: 58.364560934066766, Drawdown: 31.798201710589012, Num Trades: 131.0, Ratio: 1.8354673470302247
Profit: -3.207087787628174, Drawdown: 17.241590017318725, Num Trades: 28.0, Ratio: -0.18600881846782916
Profit: -16.657317407608033, Drawdown: 72.14440747833251, Num Trades: 80.0, Ratio: -0.23088854687192226
Profit: 48.22141187095642, Drawdown: 39.59618662420007, Num Trades: 96.0, Ratio: 1.2178296947788618
Profit: 12.564624244689943, Drawdown: 63.67017609405517, Num Trades: 22.0, Ratio: 0.1973392413133767
Profit: -54.070622169494634, Drawdown: 63.04981564712524, Num Trades: 72.0, Ratio: -0.8575857298634304
Profit: 11.518075122833253, Drawdown: 24.534296875541305, Num Trades: 46.0, Ratio: 0.4694683194412567
Profit: 136.34191008949279, Drawdown: 43.4176699283685, Num Trades: 78.0, Ratio: 3.1402401444949235
Profit: -0.7716303462982178, Drawdown: 0.7716303462982178, Num Trades: 2.0, Ratio: -1.0
Profit: 32.525415884017946, Drawdown: 51.51545568673449, Num Trades: 103.0, Ratio: 0.6313719921610519
Profit: 2.1480950603485107, Drawdown: 4.050143022537232, Num Trades: 4.0, Ratio: 0.5303751122850042
Profit: 102.79833077621461, Drawdown: 23.54203559348298, Num Trades: 83.0, Ratio: 4.3665863288674895
Profit: 0.0, Drawdown: 0.0, Num Trades: 0.0, Ratio: 0.0
Profit: -69.98221997261047, Drawdown: 88.18643996047973, Num Trades: 66.0, Ratio: -0.7935712112199178
Profit: 30.647072969436646, Drawdown: 35.55389051492214, Num Trades: 101.0, Ratio: 0.8619892935928889
Profit: 51.09424575614929, Drawdown: 22.708997750462455, Num Trades: 51.0, Ratio: 2.249956000594909
Profit: 0.0, Drawdown: 0.0, Num Trades: 0.0, Ratio: 0.0
Profit: -26.51976503944397, Drawdown: 64.51769092941284, Num Trades: 96.0, Ratio: -0.41104640692207306
Profit: 0.0, Drawdown: 0.0, Num Trades: 0.0, Ratio: 0.0
Profit: 0.0, Drawdown: 0.0, Num Trades: 0.0, Ratio: 0.0
Profit: -44.78108460235596, Drawdown: 56.12746366882324, Num Trades: 46.0, Ratio: -0.7978462177907073
Profit: 6.684034942626953, Drawdown: 0.0, Num Trades: 2.0, Ratio: 66840.34942626953
